user,gender,DT,WT,incentive,decision,mode
2.0,1.0,0.0,15.0,0.0,1.0,leave
2.0,1.0,60.0,0.0,0.0,0.0,stay
10.0,2.0,60.0,0.0,0.0,1.0,stay
10.0,2.0,0.0,15.0,0.0,0.0,leave
11.0,2.0,0.0,15.0,0.0,1.0,leave
11.0,2.0,60.0,0.0,0.0,0.0,stay
12.0,2.0,60.0,0.0,10.0,1.0,stay
12.0,2.0,0.0,15.0,0.0,0.0,leave
13.0,1.0,60.0,0.0,5.0,1.0,stay
13.0,1.0,0.0,15.0,0.0,0.0,leave
19.0,1.0,60.0,0.0,5.0,1.0,stay
19.0,1.0,0.0,15.0,0.0,0.0,leave
22.0,1.0,0.0,15.0,0.0,1.0,leave
22.0,1.0,60.0,0.0,0.0,0.0,stay
28.0,2.0,0.0,15.0,0.0,1.0,leave
28.0,2.0,60.0,0.0,0.0,0.0,stay
38.0,2.0,0.0,15.0,0.0,1.0,leave
38.0,2.0,60.0,0.0,0.0,0.0,stay
43.0,2.0,0.0,15.0,0.0,1.0,leave
43.0,2.0,60.0,0.0,0.0,0.0,stay
45.0,2.0,0.0,15.0,0.0,1.0,leave
45.0,2.0,60.0,0.0,0.0,0.0,stay
47.0,2.0,0.0,15.0,0.0,1.0,leave
47.0,2.0,60.0,0.0,0.0,0.0,stay
49.0,2.0,0.0,15.0,0.0,1.0,leave
49.0,2.0,60.0,0.0,0.0,0.0,stay
50.0,2.0,60.0,0.0,5.0,1.0,stay
50.0,2.0,0.0,15.0,0.0,0.0,leave
62.0,1.0,0.0,15.0,0.0,1.0,leave
62.0,1.0,60.0,0.0,0.0,0.0,stay
65.0,2.0,60.0,0.0,0.0,1.0,stay
65.0,2.0,0.0,15.0,0.0,0.0,leave
68.0,2.0,0.0,15.0,0.0,1.0,leave
68.0,2.0,60.0,0.0,0.0,0.0,stay
73.0,2.0,60.0,0.0,5.0,1.0,stay
73.0,2.0,0.0,15.0,0.0,0.0,leave
74.0,2.0,0.0,15.0,0.0,1.0,leave
74.0,2.0,60.0,0.0,0.0,0.0,stay
79.0,1.0,60.0,0.0,0.0,1.0,stay
79.0,1.0,0.0,15.0,0.0,0.0,leave
81.0,2.0,0.0,15.0,0.0,1.0,leave
81.0,2.0,60.0,0.0,0.0,0.0,stay
83.0,1.0,0.0,15.0,0.0,1.0,leave
83.0,1.0,60.0,0.0,0.0,0.0,stay
84.0,2.0,0.0,15.0,0.0,1.0,leave
84.0,2.0,60.0,0.0,0.0,0.0,stay
93.0,2.0,60.0,0.0,5.0,1.0,stay
93.0,2.0,0.0,15.0,0.0,0.0,leave
94.0,1.0,0.0,15.0,0.0,1.0,leave
94.0,1.0,60.0,0.0,0.0,0.0,stay
96.0,2.0,0.0,15.0,0.0,1.0,leave
96.0,2.0,60.0,0.0,0.0,0.0,stay
99.0,2.0,0.0,15.0,0.0,1.0,leave
99.0,2.0,60.0,0.0,0.0,0.0,stay
104.0,1.0,60.0,0.0,0.0,1.0,stay
104.0,1.0,0.0,15.0,0.0,0.0,leave
106.0,2.0,60.0,0.0,10.0,1.0,stay
106.0,2.0,0.0,15.0,0.0,0.0,leave
108.0,1.0,0.0,15.0,0.0,1.0,leave
108.0,1.0,60.0,0.0,0.0,0.0,stay
112.0,2.0,0.0,15.0,0.0,1.0,leave
112.0,2.0,60.0,0.0,0.0,0.0,stay
113.0,2.0,60.0,0.0,5.0,1.0,stay
113.0,2.0,0.0,15.0,0.0,0.0,leave
123.0,2.0,0.0,15.0,0.0,1.0,leave
123.0,2.0,60.0,0.0,0.0,0.0,stay
126.0,2.0,0.0,15.0,0.0,1.0,leave
126.0,2.0,60.0,0.0,0.0,0.0,stay
128.0,1.0,0.0,15.0,0.0,1.0,leave
128.0,1.0,60.0,0.0,0.0,0.0,stay
131.0,1.0,60.0,0.0,0.0,1.0,stay
131.0,1.0,0.0,15.0,0.0,0.0,leave
132.0,2.0,0.0,15.0,0.0,1.0,leave
132.0,2.0,60.0,0.0,0.0,0.0,stay
135.0,2.0,60.0,0.0,5.0,1.0,stay
135.0,2.0,0.0,15.0,0.0,0.0,leave
138.0,2.0,0.0,15.0,0.0,1.0,leave
138.0,2.0,60.0,0.0,0.0,0.0,stay
143.0,2.0,0.0,15.0,0.0,1.0,leave
143.0,2.0,60.0,0.0,0.0,0.0,stay
146.0,2.0,60.0,0.0,0.0,1.0,stay
146.0,2.0,0.0,15.0,0.0,0.0,leave
149.0,2.0,0.0,15.0,0.0,1.0,leave
149.0,2.0,60.0,0.0,0.0,0.0,stay
150.0,2.0,0.0,15.0,0.0,1.0,leave
150.0,2.0,60.0,0.0,0.0,0.0,stay
153.0,2.0,60.0,0.0,10.0,1.0,stay
153.0,2.0,0.0,15.0,0.0,0.0,leave
157.0,2.0,0.0,15.0,0.0,1.0,leave
157.0,2.0,60.0,0.0,0.0,0.0,stay
161.0,2.0,60.0,0.0,5.0,1.0,stay
161.0,2.0,0.0,15.0,0.0,0.0,leave
162.0,2.0,0.0,15.0,0.0,1.0,leave
162.0,2.0,60.0,0.0,0.0,0.0,stay
163.0,1.0,60.0,0.0,5.0,1.0,stay
163.0,1.0,0.0,15.0,0.0,0.0,leave
164.0,2.0,60.0,0.0,10.0,1.0,stay
164.0,2.0,0.0,15.0,0.0,0.0,leave
165.0,2.0,0.0,15.0,0.0,1.0,leave
165.0,2.0,60.0,0.0,0.0,0.0,stay
166.0,1.0,0.0,15.0,0.0,1.0,leave
166.0,1.0,60.0,0.0,0.0,0.0,stay
168.0,1.0,0.0,15.0,0.0,1.0,leave
168.0,1.0,60.0,0.0,0.0,0.0,stay
169.0,2.0,0.0,15.0,0.0,1.0,leave
169.0,2.0,60.0,0.0,0.0,0.0,stay
171.0,2.0,0.0,15.0,0.0,1.0,leave
171.0,2.0,60.0,0.0,0.0,0.0,stay
176.0,1.0,0.0,15.0,0.0,1.0,leave
176.0,1.0,60.0,0.0,0.0,0.0,stay
179.0,2.0,0.0,15.0,0.0,1.0,leave
179.0,2.0,60.0,0.0,0.0,0.0,stay
182.0,2.0,0.0,15.0,0.0,1.0,leave
182.0,2.0,60.0,0.0,0.0,0.0,stay
184.0,2.0,60.0,0.0,10.0,1.0,stay
184.0,2.0,0.0,15.0,0.0,0.0,leave
190.0,1.0,60.0,0.0,10.0,1.0,stay
190.0,1.0,0.0,15.0,0.0,0.0,leave
191.0,2.0,60.0,0.0,10.0,1.0,stay
191.0,2.0,0.0,15.0,0.0,0.0,leave
192.0,2.0,60.0,0.0,10.0,1.0,stay
192.0,2.0,0.0,15.0,0.0,0.0,leave
193.0,2.0,0.0,15.0,0.0,1.0,leave
193.0,2.0,60.0,0.0,0.0,0.0,stay
194.0,2.0,0.0,15.0,0.0,1.0,leave
194.0,2.0,60.0,0.0,0.0,0.0,stay
195.0,1.0,60.0,0.0,5.0,1.0,stay
195.0,1.0,0.0,15.0,0.0,0.0,leave
197.0,1.0,0.0,15.0,0.0,1.0,leave
197.0,1.0,60.0,0.0,0.0,0.0,stay
